"","B","SE","p","Comp","Variable","Approach"
"1",-0.879933582109705,0.00279541582913548,0,1,"rk_ATRL","DKI"
"2",0.266216640300694,0.00709625753741756,8.75986570174488e-302,2,"rk_ATRL","DKI"
"3",-0.495342754235195,0.00632359554136649,0,3,"rk_ATRL","DKI"
"4",0.00174363452682246,0.00750003886869377,0.816163993073525,4,"rk_ATRL","DKI"
"5",0.278121930761078,0.00740906456172692,3.82519182210635e-302,5,"rk_ATRL","DKI"
"6",-0.805444983977887,0.00273816217853837,0,1,"rk_ATRR","DKI"
"7",0.210001953481547,0.00665309776296026,1.58467080004262e-215,2,"rk_ATRR","DKI"
"8",-0.465327856163203,0.00588531605672334,0,3,"rk_ATRR","DKI"
"9",0.0888321143515973,0.00697355746065069,4.4051165127154e-37,4,"rk_ATRR","DKI"
"10",0.42192666134249,0.00666293543470357,0,5,"rk_ATRR","DKI"
"11",-0.54826357538156,0.00372923306600351,0,1,"rk_CSTL","DKI"
"12",0.470366268442734,0.0056840648977404,0,2,"rk_CSTL","DKI"
"13",-0.514672973411065,0.00521236785669175,0,3,"rk_CSTL","DKI"
"14",-0.409923813116261,0.0060577929954321,0,4,"rk_CSTL","DKI"
"15",0.099826980650847,0.0064876417491669,3.02696991343658e-53,5,"rk_CSTL","DKI"
"16",-0.598782934133388,0.00316519038781952,0,1,"rk_CSTR","DKI"
"17",0.31025315142633,0.00568599870259188,0,2,"rk_CSTR","DKI"
"18",-0.53327959651574,0.00482327244792966,0,3,"rk_CSTR","DKI"
"19",-0.219435239488653,0.00602501352680142,6.9084596608611e-285,4,"rk_CSTR","DKI"
"20",0.319943196935558,0.00594321653953112,0,5,"rk_CSTR","DKI"
"21",-0.726099944044015,0.00333003165269045,0,1,"rk_CGR","DKI"
"22",0.0658479043900687,0.00673901680187484,1.6044416591125e-22,2,"rk_CGR","DKI"
"23",-0.29614945553239,0.00619967222359169,0,3,"rk_CGR","DKI"
"24",0.515511395554849,0.00639833251706442,0,4,"rk_CGR","DKI"
"25",0.33082646557442,0.00681163445765274,0,5,"rk_CGR","DKI"
"26",-0.72742799011573,0.00344927203848248,0,1,"rk_CGL","DKI"
"27",0.0875153630312846,0.00684029255740436,2.16223282921147e-37,2,"rk_CGL","DKI"
"28",-0.282391714510543,0.00632460284324795,0,3,"rk_CGL","DKI"
