"","B","SE","p","Comp","Variable","Approach"
"1",-0.876275950477798,0.0029571916673319,0,1,"rk_ATRL","DKI"
"2",0.255035563793051,0.00580329452781718,0,2,"rk_ATRL","DKI"
"3",0.0422340792550007,0.00619032141296212,9.1129616277815e-12,3,"rk_ATRL","DKI"
"4",-0.213243733715897,0.00616630256455877,6.19873562059321e-257,4,"rk_ATRL","DKI"
"5",-0.0284399812298003,0.00609615285668152,3.09613517895715e-06,5,"rk_ATRL","DKI"
"6",-0.846754766462441,0.00305404945544895,0,1,"rk_ATRR","DKI"
"7",0.213112730068694,0.00575898467298573,4.58740150806004e-293,2,"rk_ATRR","DKI"
"8",-0.0750487988482293,0.00607718199297735,5.99409334810382e-35,3,"rk_ATRR","DKI"
"9",-0.302689113904974,0.00593015408143378,0,4,"rk_ATRR","DKI"
"10",-0.0783380604698273,0.00598031164390811,4.26865526637225e-39,5,"rk_ATRR","DKI"
"11",-0.593203818312104,0.00451656790185202,0,1,"rk_CSTL","DKI"
"12",0.461593943657388,0.00511713363952173,0,2,"rk_CSTL","DKI"
"13",0.412071131726787,0.00547515808262676,0,3,"rk_CSTL","DKI"
"14",-0.230238955205391,0.00591809540825891,5.92878775009496e-323,4,"rk_CSTL","DKI"
"15",0.0544955638296402,0.00587450612691892,1.86484827108195e-20,5,"rk_CSTL","DKI"
"16",-0.685756361141107,0.00392927554421534,0,1,"rk_CSTR","DKI"
"17",0.319056044009385,0.00538104478826632,0,2,"rk_CSTR","DKI"
"18",0.206226268295514,0.00576365502627295,1.59909858805627e-274,3,"rk_CSTR","DKI"
"19",-0.343899276378137,0.00563249902684814,0,4,"rk_CSTR","DKI"
"20",-0.0511341971320052,0.0057874451600956,1.05172152386162e-18,5,"rk_CSTR","DKI"
"21",-0.751103263182277,0.00375181854167788,0,1,"rk_CGR","DKI"
"22",0.0803714310525177,0.00583531671691512,5.01230492195693e-43,2,"rk_CGR","DKI"
"23",-0.400558898710671,0.00558895713956034,0,3,"rk_CGR","DKI"
"24",-0.0565591435118776,0.00613836781797416,3.34251784298668e-20,4,"rk_CGR","DKI"
"25",-0.23144682905001,0.00580628404332473,0,5,"rk_CGR","DKI"
"26",-0.743980604240849,0.00388388650915115,0,1,"rk_CGL","DKI"
"27",0.101724313726711,0.00588131406697278,1.07067162171361e-66,2,"rk_CGL","DKI"
"28",-0.365018279790613,0.00573353407539151,0,3,"rk_CGL","DKI"
"29",-0.00807552564657631,0.00620682710548286,0.19324412739067,4,"rk_CGL","DKI"
"30",-0.201013582363401,0.00590362381460413,2.7345091688963e-249,5,"rk_CGL","DKI"
"31",-0.501963440376215,0.00501469043295921,0,1,"rk_CG_hippocampusL","DKI"
"32",0.604759323705993,0.00473711594023143,0,2,"rk_CG_hippocampusL","DKI"
"33",0.34050617468829,0.00577174047891676,0,3,"rk_CG_hippocampusL","DKI"
"34",0.179427251399758,0.00610647652842897,4.42230226628931e-187,4,"rk_CG_hippocampusL","DKI"
"35",-0.0623688059519005,0.00599555496435965,2.67035663174394e-25,5,"rk_CG_hippocampusL","DKI"
"36",-0.684077197088173,0.00427703017401642,0,1,"rk_CG_hippocampusR","DKI"
"37",0.482290473418729,0.00523484371091855,0,2,"rk_CG_hippocampusR","DKI"
"38",0.204849879007439,0.0060256990960121,1.56061563137906e-248,3,"rk_CG_hippocampusR","DKI"
"39",0.0869466144448221,0.00621547716503844,2.5291972269602e-44,4,"rk_CG_hippocampusR","DKI"
"40",-0.192090116272497,0.00594226818437858,2.52494329235814e-225,5,"rk_CG_hippocampusR","DKI"
"41",-0.823744629251474,0.0032679660000627,0,1,"rk_FMIN","DKI"
"42",0.0646933941477858,0.00588340985148168,4.53256365461232e-28,2,"rk_FMIN","DKI"
"43",-0.306878891145027,0.00583073671809019,0,3,"rk_FMIN","DKI"
"44",-0.0304989565205131,0.0061881282216905,8.32582307647149e-07,4,"rk_FMIN","DKI"
"45",-0.0192749745802491,0.00600131462577708,0.00132050886779633,5,"rk_FMIN","DKI"
"46",-0.74580883546127,0.00358321398362609,0,1,"rk_FMAJ","DKI"
"47",0.155453139318371,0.00564772597547101,1.05530543908812e-164,2,"rk_FMAJ","DKI"
"48",0.0640211310813152,0.00590404930590495,2.40805105403719e-27,3,"rk_FMAJ","DKI"
"49",-0.0533300653505736,0.0059980245722659,6.3768794191726e-19,4,"rk_FMAJ","DKI"
"50",-0.341988931731732,0.00547334919934971,0,5,"rk_FMAJ","DKI"
"51",-0.910571815550087,0.0027373290145622,0,1,"rk_IFOFL","DKI"
"52",0.287941071458528,0.00582422513891975,0,2,"rk_IFOFL","DKI"
"53",-0.00568703491576283,0.00626783710574534,0.364236477169679,3,"rk_IFOFL","DKI"
"54",0.0276863795647167,0.00636152319925383,1.35253256965235e-05,4,"rk_IFOFL","DKI"
"55",-0.0375219404451847,0.0061661348875301,1.1780041433724e-09,5,"rk_IFOFL","DKI"
"56",-0.917620856152056,0.00232937098292569,0,1,"rk_IFOFR","DKI"
"57",0.154786567514211,0.00585046357908951,1.80101880392786e-152,2,"rk_IFOFR","DKI"
"58",-0.0808745622272929,0.00610422287511175,5.94784846449931e-40,3,"rk_IFOFR","DKI"
"59",-0.0484671560398824,0.00620932965472103,6.11964672759897e-15,4,"rk_IFOFR","DKI"
"60",-0.151195389356817,0.00596219178222109,2.26430740798297e-140,5,"rk_IFOFR","DKI"
"61",-0.860975552210543,0.00294254551528676,0,1,"rk_ILFL","DKI"
"62",0.337203975004459,0.0055690960559862,0,2,"rk_ILFL","DKI"
"63",0.126293230548687,0.00606232807120114,1.07132038644113e-95,3,"rk_ILFL","DKI"
"64",0.0958724918259428,0.00617470157984083,3.74765599992993e-54,4,"rk_ILFL","DKI"
"65",-0.166633330501515,0.0059326361481017,2.47273753701912e-171,5,"rk_ILFL","DKI"
"66",-0.863286959337623,0.00279663392226449,0,1,"rk_ILFR","DKI"
"67",0.27217275608458,0.00562388069850754,0,2,"rk_ILFR","DKI"
"68",0.000462299409702485,0.0060426703149946,0.939017206222392,3,"rk_ILFR","DKI"
"69",0.0478795127678342,0.00612854988996776,5.7898354264887e-15,4,"rk_ILFR","DKI"
"70",-0.234351901128599,0.00579009160716721,0,5,"rk_ILFR","DKI"
"71",-0.916392294455227,0.00234783517690191,0,1,"rk_SLFL","DKI"
"72",0.15390670013735,0.00585214842188146,1.06196486342504e-150,2,"rk_SLFL","DKI"
"73",0.0547380317790057,0.00611495124981252,3.70676345138547e-19,3,"rk_SLFL","DKI"
"74",0.0511376120960011,0.00620954101852132,1.86363856387983e-16,4,"rk_SLFL","DKI"
"75",-0.1399184955119,0.00597240574500765,2.79808734502694e-120,5,"rk_SLFL","DKI"
"76",-0.908813607182954,0.00232694797262375,0,1,"rk_SLFR","DKI"
"77",0.0666077320265257,0.00585781790497411,6.7483071645781e-30,2,"rk_SLFR","DKI"
"78",0.00348484645866694,0.00607193073263642,0.566021401205585,3,"rk_SLFR","DKI"
"79",-0.00667765575665598,0.00616448759719505,0.278708132058657,4,"rk_SLFR","DKI"
"80",-0.150730464053595,0.00591249648592858,7.92718715828656e-142,5,"rk_SLFR","DKI"
"81",-0.737166297414553,0.00400365325431214,0,1,"rk_UFL","DKI"
"82",0.353043408586408,0.00559911158384578,0,2,"rk_UFL","DKI"
"83",-0.155964854843811,0.00610104066703514,1.37223376871682e-142,3,"rk_UFL","DKI"
"84",0.106307170878711,0.00623159719589095,6.09186391433109e-65,4,"rk_UFL","DKI"
"85",0.239250179666437,0.00591019548618171,0,5,"rk_UFL","DKI"
"86",-0.713839120948383,0.0040590856400032,0,1,"rk_UFR","DKI"
"87",0.294304949704887,0.00564929891465776,0,2,"rk_UFR","DKI"
"88",-0.326050654488401,0.00580344615678939,0,3,"rk_UFR","DKI"
"89",0.026860782787043,0.00619641357303259,1.46313050496831e-05,4,"rk_UFR","DKI"
"90",0.121867396793432,0.00596792258457804,4.75654599741844e-92,5,"rk_UFR","DKI"
"91",-0.690917389768924,0.00410398763692545,0,1,"rk_SLFTL","DKI"
"92",0.396436565402515,0.00536500789174214,0,2,"rk_SLFTL","DKI"
"93",0.187208868302123,0.00594058412907284,2.00160047763294e-214,3,"rk_SLFTL","DKI"
"94",0.198556875572804,0.00602196932331525,3.56810585987017e-234,4,"rk_SLFTL","DKI"
"95",-0.0809431039357502,0.005926461716628,2.43476520852076e-42,5,"rk_SLFTL","DKI"
"96",-0.788111454413152,0.00346053010105208,0,1,"rk_SLTFR","DKI"
"97",0.245906123666993,0.00566073822581277,0,2,"rk_SLTFR","DKI"
"98",0.0666903287034101,0.00602630339606377,2.07294656148075e-28,3,"rk_SLTFR","DKI"
"99",0.101592629606136,0.00610238279558689,5.98977166021743e-62,4,"rk_SLTFR","DKI"
"100",-0.229834790728049,0.00579226386280542,0,5,"rk_SLTFR","DKI"
"101",-0.707808234901706,0.00402721810730824,0,1,"ak_ATRL","DKI"
"102",-0.544783386077958,0.00492376912690773,0,2,"ak_ATRL","DKI"
"103",-0.0333888442741025,0.00605231969467842,3.48309751194236e-08,3,"ak_ATRL","DKI"
"104",-0.256098540663848,0.00596477786798255,0,4,"ak_ATRL","DKI"
"105",-0.0145291594001998,0.00596022242153085,0.0147873964388526,5,"ak_ATRL","DKI"
"106",-0.682006435509253,0.00427131377367903,0,1,"ak_ATRR","DKI"
"107",-0.535659369328282,0.00504159280235169,0,2,"ak_ATRR","DKI"
"108",-0.0327613133099397,0.00612630012012627,8.97635470370114e-08,3,"ak_ATRR","DKI"
"109",-0.320198263351086,0.00593776233769534,0,4,"ak_ATRR","DKI"
"110",0.0087299861557401,0.00603328240529908,0.147915573615188,5,"ak_ATRR","DKI"
"111",-0.575861971298091,0.00449325548530067,0,1,"ak_CSTL","DKI"
"112",-0.539412955549795,0.00475667917909504,0,2,"ak_CSTL","DKI"
"113",0.0446648412607694,0.00588726442716582,3.37816802865132e-14,3,"ak_CSTL","DKI"
"114",-0.364504541400028,0.005594963914997,0,4,"ak_CSTL","DKI"
"115",-0.0937492207952525,0.0057752500745163,5.31080436916327e-59,5,"ak_CSTL","DKI"
"116",-0.622725586822427,0.00430631226952502,0,1,"ak_CSTR","DKI"
"117",-0.480191565102244,0.00499296317208616,0,2,"ak_CSTR","DKI"
"118",0.080147161154477,0.00589838199576313,6.30608809381374e-42,3,"ak_CSTR","DKI"
"119",-0.361880135326629,0.00562649422341379,0,4,"ak_CSTR","DKI"
"120",-0.0845878579112957,0.00580351448806786,5.91837674543022e-48,5,"ak_CSTR","DKI"
"121",-0.599270290460166,0.00454806474316993,0,1,"ak_CGR","DKI"
"122",-0.262270495726636,0.00562233166761454,0,2,"ak_CGR","DKI"
"123",0.338912231607073,0.00569393523918552,0,3,"ak_CGR","DKI"
"124",0.0362609853745404,0.00611356597565776,3.04005165477429e-09,4,"ak_CGR","DKI"
"125",0.24347638579297,0.00575970988833278,0,5,"ak_CGR","DKI"
"126",-0.554742593585852,0.00477132138865985,0,1,"ak_CGL","DKI"
"127",-0.269531013280265,0.00564226992065526,0,2,"ak_CGL","DKI"
"128",0.445928695728383,0.0054737052490881,0,3,"ak_CGL","DKI"
"129",0.0408065768793334,0.00614454485010926,3.1672587417483e-11,4,"ak_CGL","DKI"
"130",0.2442738918078,0.00579044326584986,0,5,"ak_CGL","DKI"
"131",-0.559532032688141,0.00442342087887827,0,1,"ak_CG_hippocampusL","DKI"
"132",-0.464791240349341,0.00488543461834158,0,2,"ak_CG_hippocampusL","DKI"
"133",0.0483888160454208,0.00576769286397617,5.09088569163594e-17,3,"ak_CG_hippocampusL","DKI"
"134",0.136327034511405,0.00580882804278615,1.07583692178883e-120,4,"ak_CG_hippocampusL","DKI"
"135",-0.216578253048124,0.00554309478638409,0,5,"ak_CG_hippocampusL","DKI"
"136",-0.637284165158082,0.00407725919958405,0,1,"ak_CG_hippocampusR","DKI"
"137",-0.476706313800488,0.0048680874157945,0,2,"ak_CG_hippocampusR","DKI"
"138",0.0501316902880971,0.00578663680391587,4.80980059833408e-18,3,"ak_CG_hippocampusR","DKI"
"139",0.113086954181356,0.00584551379027168,7.17901459812107e-83,4,"ak_CG_hippocampusR","DKI"
"140",-0.227962424198459,0.00554730045915607,0,5,"ak_CG_hippocampusR","DKI"
"141",-0.695627271051845,0.00393038610429679,0,1,"ak_FMIN","DKI"
"142",-0.358008169604139,0.00534318854221538,0,2,"ak_FMIN","DKI"
"143",0.108603761546801,0.00589730200105847,2.5877348340299e-75,3,"ak_FMIN","DKI"
